Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2023-11-15 14:51:19Z : PB = 204308480 : In   : -------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2023-11-15 14:51:26Z : PB = 258400256 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:26Z : PB = 258486272 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:26Z : PB = 258486272 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:26Z : PB = 258486272 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:26Z : PB = 264560640 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:26Z : PB = 264560640 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:26Z : PB = 264560640 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:26Z : PB = 264560640 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:26Z : PB = 264560640 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:26Z : PB = 264581120 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:26Z : PB = 264581120 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:26Z : PB = 264581120 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:27Z : PB = 275795968 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:27Z : PB = 275795968 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:27Z : PB = 275795968 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:27Z : PB = 275795968 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:27Z : PB = 275795968 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:27Z : PB = 275828736 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:27Z : PB = 275828736 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:27Z : PB = 275828736 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:27Z : PB = 277467136 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:27Z : PB = 277467136 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:27Z : PB = 277467136 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:27Z : PB = 277467136 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:27Z : PB = 277467136 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:27Z : PB = 277467136 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:27Z : PB = 277467136 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:27Z : PB = 277467136 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:27Z : PB = 269926400 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:28Z : PB = 269926400 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:28Z : PB = 269926400 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:28Z : PB = 269926400 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:28Z : PB = 269926400 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:28Z : PB = 269926400 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:28Z : PB = 269926400 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:28Z : PB = 269926400 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:28Z : PB = 272429056 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:28Z : PB = 272429056 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:28Z : PB = 272429056 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:28Z : PB = 272429056 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:28Z : PB = 272429056 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:28Z : PB = 273833984 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:28Z : PB = 273833984 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:28Z : PB = 273833984 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:28Z : PB = 277635072 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:28Z : PB = 277635072 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:28Z : PB = 277901312 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:28Z : PB = 277839872 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:28Z : PB = 277651456 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:28Z : PB = 277667840 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:28Z : PB = 277667840 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:28Z : PB = 277667840 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:28Z : PB = 281280512 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:28Z : PB = 281284608 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:28Z : PB = 281354240 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:28Z : PB = 281296896 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:28Z : PB = 281300992 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:28Z : PB = 281317376 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:28Z : PB = 281317376 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:28Z : PB = 281325568 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:29Z : PB = 284778496 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:29Z : PB = 284778496 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:29Z : PB = 284778496 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:29Z : PB = 284778496 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:29Z : PB = 284778496 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:29Z : PB = 284786688 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:29Z : PB = 284786688 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:29Z : PB = 284786688 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:29Z : PB = 289660928 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:29Z : PB = 289665024 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:29Z : PB = 289681408 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:29Z : PB = 289685504 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:29Z : PB = 289685504 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:29Z : PB = 289710080 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:29Z : PB = 289714176 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:29Z : PB = 289714176 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:29Z : PB = 295116800 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:29Z : PB = 295116800 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:29Z : PB = 295116800 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:29Z : PB = 295116800 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:29Z : PB = 295116800 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:29Z : PB = 295776256 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:29Z : PB = 295907328 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:29Z : PB = 295907328 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:29Z : PB = 290398208 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:29Z : PB = 290340864 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:29Z : PB = 290349056 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:29Z : PB = 290484224 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:29Z : PB = 290430976 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:29Z : PB = 290496512 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:29Z : PB = 290504704 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:29Z : PB = 290508800 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:29Z : PB = 281321472 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:29Z : PB = 281321472 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:29Z : PB = 281321472 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:29Z : PB = 281321472 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:29Z : PB = 281321472 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:29Z : PB = 281321472 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:29Z : PB = 281321472 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:29Z : PB = 281264128 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:29Z : PB = 284807168 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:29Z : PB = 284807168 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:29Z : PB = 284807168 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:29Z : PB = 284807168 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:29Z : PB = 284807168 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:29Z : PB = 284655616 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:29Z : PB = 284635136 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:29Z : PB = 284635136 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:30Z : PB = 287928320 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:30Z : PB = 287928320 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:30Z : PB = 287928320 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:30Z : PB = 287928320 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:30Z : PB = 287928320 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:30Z : PB = 287928320 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:30Z : PB = 287928320 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:30Z : PB = 287928320 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:30Z : PB = 291405824 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:30Z : PB = 291405824 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:30Z : PB = 291405824 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:30Z : PB = 291405824 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:30Z : PB = 291414016 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:30Z : PB = 291446784 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:30Z : PB = 291446784 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:30Z : PB = 291446784 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:30Z : PB = 294961152 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:30Z : PB = 294977536 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:30Z : PB = 294977536 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:30Z : PB = 294748160 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:30Z : PB = 294748160 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:30Z : PB = 294748160 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:30Z : PB = 294748160 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:30Z : PB = 294748160 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:30Z : PB = 300576768 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:30Z : PB = 300580864 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:30Z : PB = 300584960 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:30Z : PB = 300584960 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:30Z : PB = 300584960 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:30Z : PB = 300584960 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:30Z : PB = 300584960 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:30Z : PB = 300584960 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:30Z : PB = 306417664 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:30Z : PB = 306417664 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:30Z : PB = 306417664 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:30Z : PB = 306417664 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:30Z : PB = 306417664 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:31Z : PB = 306417664 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:31Z : PB = 306417664 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:31Z : PB = 306417664 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:31Z : PB = 313180160 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:31Z : PB = 313180160 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:31Z : PB = 313180160 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:31Z : PB = 313180160 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:31Z : PB = 313180160 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:31Z : PB = 313180160 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:31Z : PB = 313180160 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:31Z : PB = 313180160 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:31Z : PB = 319737856 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:31Z : PB = 319737856 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:31Z : PB = 319737856 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:31Z : PB = 319737856 : Out  : --------- StyleCop.StyleCopThread.DoWork()
2023-11-15 14:51:31Z : PB = 319737856 : Out  : -------- StyleCop.StyleCopCore.RunWorkerThreads()=True
2023-11-15 14:51:31Z : PB = 319741952 : Out  : ------- StyleCop.StyleCopCore.Analyze()
